City,Cuisine,count
Brussels,French,483
Amsterdam,Delicatessen,37
Amsterdam,Malaysian,2
Barcelona,Halal,58
Brussels,Moroccan,43
Brussels,Korean,6
Athens,Steakhouse,46
Barcelona,Nepali,7
Bratislava,Cafe,48
Amsterdam,Central European,50
Berlin,Middle Eastern,174
Berlin,New Zealand,1
Amsterdam,American,142
Bratislava,South American,1
Athens,Eastern European,7
Athens,Moroccan,1
Bratislava,Asian,33
Berlin,Sri Lankan,5
Amsterdam,European,1418
Amsterdam,Georgian,1
Brussels,Steakhouse,31
Brussels,Belgian,655
Brussels,Central European,20
Barcelona,Croatian,1
Amsterdam,Wine Bar,21
Amsterdam,Cajun & Creole,2
Athens,Egyptian,1
Barcelona,Barbecue,96
Barcelona,Brew Pub,43
Berlin,Vegan Options,629
Berlin,Seafood,123
Bratislava,Arabic,2
Amsterdam,International,345
Amsterdam,Korean,10
Amsterdam,Austrian,1
Berlin,European,1253
Berlin,Belgian,1
Bratislava,Vegetarian Friendly,102
Amsterdam,Seafood,125
Brussels,Pizza,158
Amsterdam,Greek,28
Athens,Argentinean,2
Barcelona,Singaporean,3
Athens,Spanish,11
Barcelona,Uzbek,1
Berlin,Central American,27
Bratislava,Italian,77
Amsterdam,Singaporean,2
Athens,Czech,3
Brussels,Eastern European,4
Barcelona,Delicatessen,91
Barcelona,Chinese,149
Berlin,Arabic,19
Bratislava,Mediterranean,35
Brussels,Mediterranean,383
Amsterdam,Diner,33
Barcelona,Arabic,5
Bratislava,Delicatessen,4
Bratislava,Polish,1
Bratislava,British,3
Brussels,Tunisian,4
Amsterdam,Arabic,9
Barcelona,Sushi,225
Berlin,Tibetan,7
Bratislava,Vietnamese,11
Brussels,European,1053
Berlin,Mediterranean,688
Bratislava,Seafood,18
Amsterdam,Indian,70
Bratislava,Fusion,7
Amsterdam,Soups,44
Amsterdam,Argentinean,68
Athens,Lebanese,6
Bratislava,Belgian,2
Athens,Australian,1
Barcelona,Central Asian,5
Brussels,Healthy,54
Berlin,Irish,9
Berlin,Nepali,6
Athens,Central American,8
Amsterdam,Japanese,113
Barcelona,Vegan Options,1006
Berlin,Fast Food,209
Berlin,Cambodian,3
Bratislava,Wine Bar,25
Brussels,Gastropub,49
Amsterdam,Chinese,92
Barcelona,Steakhouse,84
Barcelona,Healthy,200
Brussels,Contemporary,27
Amsterdam,Thai,68
Amsterdam,Kosher,3
Bratislava,Korean,1
Barcelona,Contemporary,124
Athens,Gastropub,10
Berlin,Brew Pub,10
Bratislava,Pub,116
Amsterdam,Australian,5
Athens,Japanese,25
Barcelona,Grill,54
Barcelona,Argentinean,106
Amsterdam,Dutch,805
Bratislava,Gluten Free Options,31
Brussels,Japanese,85
Amsterdam,Southwestern,5
Brussels,Thai,102
Barcelona,Kosher,3
Berlin,Diner,62
Athens,Vietnamese,2
Barcelona,Asian,366
Barcelona,Mongolian,1
Barcelona,International,263
Bratislava,Croatian,1
Brussels,Portuguese,24
Brussels,Barbecue,28
Brussels,Arabic,1
Berlin,Pub,192
Barcelona,Peruvian,58
Barcelona,Polish,2
Bratislava,Central European,175
Brussels,Pakistani,15
Barcelona,Belgian,8
Brussels,Street Food,19
Barcelona,Hungarian,2
Barcelona,Scandinavian,1
Brussels,Lebanese,45
Bratislava,Chinese,11
Bratislava,Latin,3
Amsterdam,British,18
Athens,Central European,8
Barcelona,Taiwanese,4
Barcelona,German,23
Berlin,Bar,264
Berlin,Central Asian,2
Amsterdam,Grill,85
Amsterdam,Street Food,23
Athens,Pakistani,3
Barcelona,Israeli,7
Amsterdam,Vegan Options,524
Barcelona,French,64
Berlin,Thai,138
Athens,Venezuelan,1
Athens,Grill,41
Athens,Swiss,1
Berlin,Argentinean,28
Brussels,Gluten Free Options,123
Amsterdam,Healthy,81
Athens,Contemporary,23
Barcelona,Gluten Free Options,901
Berlin,Cajun & Creole,3
Barcelona,Armenian,2
Berlin,Croatian,18
Brussels,Spanish,45
Amsterdam,Indonesian,74
Barcelona,Indian,71
Barcelona,Lebanese,47
Amsterdam,Afghani,3
Athens,Brazilian,2
Berlin,Norwegian,1
Brussels,Chilean,1
Amsterdam,Norwegian,1
Berlin,Southwestern,2
Amsterdam,Peruvian,4
Athens,Irish,1
Bratislava,German,1
Barcelona,Fusion,224
Barcelona,Mexican,124
Bratislava,International,58
Berlin,Australian,8
Berlin,Ethiopian,6
Berlin,Salvadoran,1
Barcelona,Austrian,2
Brussels,Sushi,44
Barcelona,Bar,537
Brussels,Greek,64
Berlin,Contemporary,57
Bratislava,Thai,12
Bratislava,Vegan Options,45
Brussels,Persian,6
Berlin,American,168
Berlin,Delicatessen,52
Berlin,Ukrainian,4
Berlin,Soups,67
Berlin,Halal,68
Berlin,Moroccan,9
Amsterdam,Mediterranean,337
Amsterdam,Persian,6
Barcelona,Japanese,338
Barcelona,Indonesian,6
Berlin,Lebanese,51
Bratislava,Caribbean,1
Berlin,South American,55
Bratislava,Contemporary,6
Amsterdam,Nepali,10
Athens,Pub,85
Brussels,Middle Eastern,81
Brussels,Turkish,28
Barcelona,Persian,2
Berlin,Vegetarian Friendly,1723
Berlin,Barbecue,89
Brussels,American,68
Amsterdam,German,8
Berlin,Egyptian,7
Athens,French,20
Athens,Azerbaijani,1
Barcelona,Georgian,1
Berlin,British,6
Amsterdam,New Zealand,4
Amsterdam,Egyptian,4
Barcelona,South American,174
Bratislava,Indonesian,2
Bratislava,Japanese,23
Amsterdam,Bar,497
Athens,Soups,8
Barcelona,Middle Eastern,80
Berlin,Italian,803
Berlin,Pakistani,10
Brussels,Asian,238
Athens,African,3
Barcelona,Greek,21
Barcelona,Ecuadorean,2
Berlin,Latin,41
Berlin,Peruvian,12
Bratislava,Middle Eastern,4
Brussels,Taiwanese,2
Amsterdam,Fast Food,117
Amsterdam,African,24
Athens,European,192
Athens,Latin,9
Barcelona,Pakistani,15
Berlin,Scandinavian,4
Athens,Barbecue,51
Berlin,Caucasian,1
Athens,Mexican,15
Berlin,Israeli,22
Brussels,Soups,64
Athens,British,6
Barcelona,Wine Bar,109
Bratislava,Argentinean,1
Barcelona,Cajun & Creole,1
Amsterdam,Minority Chinese,2
Athens,Middle Eastern,25
Barcelona,Vegetarian Friendly,1969
Barcelona,American,176
Barcelona,British,11
Bratislava,Israeli,1
Amsterdam,Halal,52
Athens,Greek,903
Barcelona,Yunnan,2
Berlin,Georgian,3
Brussels,Diner,12
Athens,Healthy,25
Athens,Romanian,1
Barcelona,Scottish,1
Berlin,Kosher,10
Berlin,Mongolian,3
Berlin,Mexican,88
Amsterdam,Swiss,6
Barcelona,Irish,11
Amsterdam,South American,54
Barcelona,Filipino,6
Berlin,Fusion,71
Berlin,Persian,17
Bratislava,French,12
Athens,Pizza,52
Barcelona,Gastropub,72
Amsterdam,Moroccan,23
Barcelona,Swedish,1
Berlin,Swiss,14
Bratislava,Eastern European,73
Amsterdam,Pakistani,8
Barcelona,Dutch,2
Bratislava,Fast Food,28
Berlin,Indonesian,6
Amsterdam,Pub,292
Amsterdam,Fusion,50
Berlin,Healthy,67
Berlin,Swedish,2
Bratislava,Gastropub,10
Amsterdam,Lebanese,16
Barcelona,Colombian,20
Barcelona,Southwestern,1
Amsterdam,Hawaiian,4
Berlin,Eastern European,27
Bratislava,Soups,23
Amsterdam,Turkish,68
Bratislava,Brew Pub,10
Bratislava,Spanish,4
Bratislava,Russian,1
Brussels,Wine Bar,44
Berlin,German,805
Amsterdam,Middle Eastern,78
Berlin,Vietnamese,260
Athens,Caribbean,2
Barcelona,Seafood,281
Berlin,Singaporean,7
Berlin,Polish,9
Brussels,Dutch,1
Helsinki,Georgian,3
Copenhagen,Vegetarian Friendly,480
Dublin,Wine Bar,38
Geneva,Bar,57
Geneva,Eastern European,2
Helsinki,Vietnamese,20
Copenhagen,Irish,5
Copenhagen,Moroccan,5
Geneva,Wine Bar,33
Lisbon,Italian,177
Dublin,Afghani,4
Geneva,Japanese,45
Helsinki,Czech,1
Helsinki,Gastropub,4
Lisbon,Mexican,13
Budapest,European,1188
Krakow,Japanese,32
Lisbon,Albanian,1
Copenhagen,Greek,8
Copenhagen,Belgian,2
Dublin,Spanish,22
Geneva,Contemporary,21
Hamburg,Cafe,81
Hamburg,Turkish,30
Lisbon,Vegan Options,336
Budapest,Pizza,158
Geneva,Irish,2
Copenhagen,Lebanese,11
Copenhagen,Jamaican,1
Dublin,Argentinean,2
Geneva,Swedish,1
Hamburg,Greek,72
Krakow,Central European,242
Lisbon,Fast Food,68
Lisbon,Tibetan,5
Dublin,Mexican,40
Helsinki,American,47
Brussels,Scandinavian,2
Geneva,Malaysian,1
Krakow,Israeli,11
Copenhagen,Scandinavian,277
Geneva,Persian,5
Hamburg,Italian,269
Krakow,Kosher,12
Dublin,Barbecue,13
Edinburgh,American,73
Hamburg,International,109
Budapest,International,312
Copenhagen,New Zealand,1
Helsinki,Central American,3
Lisbon,American,49
Edinburgh,Vegetarian Friendly,877
Budapest,Irish,4
Copenhagen,Persian,1
Krakow,Bar,115
Edinburgh,British,654
Edinburgh,Fast Food,176
Geneva,Seafood,24
Geneva,Mexican,11
Geneva,Ethiopian,7
Hamburg,Contemporary,23
Copenhagen,Seafood,46
Geneva,Gluten Free Options,76
Geneva,Thai,45
Budapest,Central European,543
Copenhagen,Central European,8
Copenhagen,Thai,65
Hamburg,Fast Food,53
Krakow,Brew Pub,12
Edinburgh,Pub,261
Lisbon,Arabic,5
Copenhagen,Australian,3
Dublin,Vegetarian Friendly,704
Dublin,Healthy,49
Dublin,Pizza,144
Edinburgh,Street Food,13
Geneva,Egyptian,1
Hamburg,Mongolian,6
Krakow,Georgian,4
Lisbon,Delicatessen,15
Budapest,Egyptian,1
Budapest,Ethiopian,1
Copenhagen,Vietnamese,25
Hamburg,Peruvian,5
Hamburg,Danish,1
Helsinki,Seafood,11
Helsinki,Sri Lankan,1
Lisbon,Nepali,49
Dublin,Southwestern,1
Geneva,Scandinavian,2
Lisbon,Polish,1
Budapest,German,8
Budapest,Gluten Free Options,286
Budapest,Cajun & Creole,1
Copenhagen,Filipino,1
Geneva,American,34
Dublin,Bar,354
Geneva,Sushi,44
Geneva,African,11
Helsinki,Southwestern,5
Helsinki,Kosher,1
Krakow,Halal,7
Budapest,Cafe,155
Hamburg,Gluten Free Options,70
Krakow,Gastropub,7
Krakow,Spanish,5
Budapest,Mexican,38
Edinburgh,Turkish,33
Hamburg,Swedish,2
Budapest,Norwegian,1
Hamburg,Cuban,2
Krakow,Soups,33
Copenhagen,Venezuelan,1
Dublin,American,85
Hamburg,Scandinavian,4
Budapest,Turkish,30
Edinburgh,Brazilian,2
Geneva,Spanish,35
Helsinki,Soups,20
Budapest,Pub,186
Copenhagen,Fusion,17
Copenhagen,Armenian,1
Hamburg,Jamaican,1
Helsinki,South American,7
Krakow,Azerbaijani,1
Lisbon,Mediterranean,922
Lisbon,Pizza,116
Lisbon,Cuban,3
Budapest,Nepali,10
Edinburgh,Scottish,464
Krakow,Diner,13
Lisbon,Puerto Rican,2
Dublin,Israeli,1
Geneva,Latin,14
Geneva,Turkish,12
Helsinki,Fast Food,43
Budapest,Fusion,33
Copenhagen,Caucasian,1
Helsinki,Fusion,25
Budapest,Argentinean,2
Edinburgh,Mediterranean,92
Geneva,Steakhouse,30
Budapest,African,1
Copenhagen,Central American,5
Dublin,Middle Eastern,32
Budapest,Diner,14
Edinburgh,Middle Eastern,36
Helsinki,Scandinavian,204
Helsinki,Central European,12
Helsinki,International,44
Helsinki,Peruvian,1
Krakow,Arabic,2
Krakow,Chinese,17
Krakow,Pub,102
Krakow,Dutch,1
Brussels,Russian,1
Dublin,Italian,175
Geneva,International,56
Budapest,Croatian,1
Copenhagen,International,67
Edinburgh,Malaysian,3
Geneva,Healthy,16
Hamburg,Vegan Options,128
Krakow,South American,4
Copenhagen,Ethiopian,2
Edinburgh,Mexican,25
Krakow,Healthy,35
Lisbon,Caribbean,5
Edinburgh,Jamaican,2
Hamburg,Arabic,2
Geneva,Argentinean,3
Geneva,Vietnamese,7
Helsinki,Australian,4
Copenhagen,Asian,185
Lisbon,Taiwanese,1
Edinburgh,European,311
Edinburgh,Sushi,30
Copenhagen,Latin,18
Copenhagen,Wine Bar,41
Copenhagen,Colombian,1
Copenhagen,Arabic,5
Helsinki,Diner,9
Lisbon,Austrian,2
Geneva,Peruvian,10
Krakow,Belgian,3
Edinburgh,International,40
Edinburgh,Latin,5
Geneva,Colombian,1
Hamburg,Latin,13
Hamburg,Healthy,16
Lisbon,Turkish,11
Geneva,Halal,25
Hamburg,Pakistani,5
Copenhagen,Mediterranean,79
Dublin,Mediterranean,87
Hamburg,South American,18
Hamburg,Thai,36
Krakow,Czech,3
Budapest,Steakhouse,20
Hamburg,Lebanese,12
Hamburg,Caribbean,3
Geneva,Gastropub,29
Lisbon,German,8
Budapest,Mongolian,2
Copenhagen,Chinese,47
Dublin,Grill,18
Lisbon,Diner,9
Dublin,Persian,1
Edinburgh,Delicatessen,18
Lisbon,Chilean,1
Copenhagen,Indonesian,2
Dublin,Gluten Free Options,545
Geneva,Diner,8
Geneva,Cuban,1
Geneva,Kosher,1
Helsinki,Italian,81
Lisbon,Pub,99
Lisbon,Swiss,2
Budapest,Gastropub,26
Dublin,Street Food,10
Hamburg,Mediterranean,239
Hamburg,Japanese,53
Hamburg,Canadian,1
Budapest,Greek,23
Copenhagen,Middle Eastern,35
Copenhagen,Pub,83
Dublin,Japanese,45
Budapest,Street Food,59
Budapest,Romanian,2
Dublin,Indonesian,1
Dublin,Polish,1
Helsinki,Pub,83
Dublin,Turkish,7
Edinburgh,Irish,1
Krakow,Italian,183
Krakow,Korean,6
Lisbon,Portuguese,1845
Dublin,South American,7
Krakow,German,2
Brussels,Cuban,2
Edinburgh,South American,7
Edinburgh,Persian,2
Geneva,Middle Eastern,34
Hamburg,Brew Pub,5
Helsinki,Russian,5
Krakow,Cuban,1
Budapest,Seafood,36
Copenhagen,Italian,207
Hamburg,Diner,37
Helsinki,Israeli,2
Copenhagen,Contemporary,34
Dublin,Arabic,1
Hamburg,Colombian,2
Helsinki,Sushi,60
Helsinki,Brew Pub,5
Helsinki,Chinese,53
Helsinki,Spanish,21
Krakow,Fusion,23
Krakow,Argentinean,3
Krakow,Polish,454
Budapest,French,36
Copenhagen,Malaysian,2
Dublin,Thai,84
Geneva,South American,17
Helsinki,Halal,7
Edinburgh,Eastern European,15
Geneva,Albanian,1
Hamburg,Indonesian,2
Lisbon,Grill,58
Lisbon,Persian,2
Budapest,Contemporary,22
Edinburgh,Indian,121
Edinburgh,Tibetan,1
Hamburg,Kosher,2
Hamburg,British,4
Krakow,Ukrainian,5
Dublin,Contemporary,49
Geneva,Mediterranean,241
Helsinki,Barbecue,16
Krakow,Mexican,8
Krakow,British,3
Budapest,Brew Pub,8
Copenhagen,Argentinean,4
Dublin,Chinese,84
Dublin,Hungarian,1
Edinburgh,Ukrainian,1
Helsinki,Eastern European,6
Lisbon,Asian,154
Budapest,Vegetarian Friendly,705
Budapest,Persian,3
Lisbon,Brew Pub,14
Lisbon,Indonesian,1
Brussels,Egyptian,1
Budapest,Swiss,1
Copenhagen,Swedish,3
Dublin,Lebanese,13
Dublin,Fast Food,136
Helsinki,Korean,9
Edinburgh,Japanese,34
Edinburgh,Polish,2
Hamburg,Vietnamese,40
Hamburg,Pub,63
Dublin,Albanian,1
Edinburgh,Contemporary,30
Edinburgh,Austrian,1
Helsinki,Healthy,11
Copenhagen,Bar,118
Dublin,Sushi,44
Krakow,American,61
Lisbon,Pakistani,4
Copenhagen,Diner,24
Geneva,Lebanese,30
Geneva,Brazilian,6
Helsinki,Middle Eastern,31
Dublin,Fusion,31
Hamburg,Hungarian,1
Krakow,Steakhouse,15
Copenhagen,Native American,1
Helsinki,Japanese,61
Krakow,Vietnamese,11
Budapest,Wine Bar,44
Copenhagen,Israeli,3
Edinburgh,Wine Bar,27
Hamburg,German,315
Helsinki,Irish,1
Krakow,Nepali,1
Edinburgh,Soups,64
Edinburgh,Central European,3
Edinburgh,Singaporean,1
Hamburg,Bar,91
Hamburg,Irish,3
Lisbon,Japanese,108
Copenhagen,Gluten Free Options,185
Copenhagen,Steakhouse,34
Copenhagen,Mongolian,1
Edinburgh,Chinese,83
Helsinki,Thai,36
Lisbon,Peruvian,10
Edinburgh,Pizza,135
Edinburgh,Belgian,1
Hamburg,Persian,7
Budapest,Soups,67
Dublin,Czech,1
Hamburg,Central European,167
Lisbon,Fusion,53
Brussels,Bangladeshi,2
Budapest,Healthy,65
Dublin,Ethiopian,1
Helsinki,Arabic,1
Budapest,Asian,138
Budapest,Chinese,40
Copenhagen,Soups,6
Copenhagen,South American,8
Hamburg,Moroccan,3
Helsinki,Lebanese,6
Helsinki,British,2
Lisbon,Bangladeshi,3
Dublin,Nepali,9
Dublin,Central American,5
Hamburg,Indian,45
Krakow,Barbecue,10
Budapest,Delicatessen,15
Copenhagen,Peruvian,2
Dublin,Swedish,1
Dublin,European,651
Dublin,Indian,73
Lisbon,African,30
Budapest,Moroccan,3
Copenhagen,Taiwanese,2
Edinburgh,Steakhouse,25
Lisbon,Brazilian,57
Dublin,Seafood,47
Hamburg,Sushi,78
Budapest,Cuban,3
Geneva,Cafe,44
Krakow,Cafe,71
Krakow,Greek,4
Lisbon,Steakhouse,51
Budapest,Central American,9
Edinburgh,Gastropub,32
Lisbon,Central Asian,2
Lisbon,Venezuelan,1
Dublin,Tibetan,1
Hamburg,Middle Eastern,49
Lisbon,Bar,161
Lisbon,French,25
Budapest,Scandinavian,1
Helsinki,Wine Bar,9
Lisbon,Indian,109
Brussels,Filipino,1
Copenhagen,Norwegian,4
Dublin,Gastropub,59
Dublin,Balti,10
Budapest,Bar,240
Copenhagen,Russian,1
Dublin,Scandinavian,1
Geneva,Central European,14
Geneva,Korean,7
Lisbon,Wine Bar,91
Dublin,Vietnamese,10
Krakow,Indian,15
Lisbon,Irish,2
Budapest,Middle Eastern,42
Dublin,Irish,614
Lisbon,Vegetarian Friendly,731
Lisbon,Spanish,68
Budapest,Barbecue,28
Budapest,Japanese,45
Copenhagen,African,2
Edinburgh,Diner,15
Helsinki,Hawaiian,2
Krakow,Contemporary,13
Dublin,Asian,219
Hamburg,Steakhouse,55
Brussels,Caribbean,3
Budapest,Native American,1
Edinburgh,French,39
Edinburgh,Greek,7
Geneva,Barbecue,17
Krakow,French,23
Edinburgh,Southwestern,1
Edinburgh,Venezuelan,1
Krakow,Vegan Options,160
Dublin,Pub,331
Hamburg,Fusion,18
Dublin,Canadian,1
Dublin,Russian,1
Edinburgh,Central American,13
Copenhagen,Azerbaijani,1
Helsinki,Afghani,1
Budapest,Caribbean,4
Budapest,Pakistani,2
Edinburgh,Vietnamese,4
Hamburg,Gastropub,9
Lisbon,Central American,5
Budapest,Jamaican,1
Dublin,Diner,13
Helsinki,Delicatessen,6
Krakow,Lebanese,4
Copenhagen,Fast Food,109
Copenhagen,British,5
Dublin,Hawaiian,1
Hamburg,European,430
Lisbon,Argentinean,9
Budapest,Bangladeshi,1
Geneva,Grill,10
Helsinki,Nepali,32
Dublin,Portuguese,5
Dublin,Ecuadorean,1
Edinburgh,Swedish,2
Geneva,European,520
Krakow,Balti,1
Lisbon,Healthy,78
Budapest,Georgian,1
Copenhagen,Hungarian,1
Dublin,Vegan Options,336
Edinburgh,Moroccan,2
Hamburg,Ethiopian,1
Helsinki,Pizza,95
Krakow,Street Food,3
Brussels,Southwestern,1
Budapest,Portuguese,1
Copenhagen,Japanese,90
Copenhagen,Sushi,77
Edinburgh,Pakistani,11
Geneva,French,344
Hamburg,Brazilian,3
Hamburg,Central American,8
Hamburg,Minority Chinese,1
Helsinki,Mexican,20
Budapest,Spanish,25
Copenhagen,Street Food,5
Dublin,Brazilian,5
Krakow,Asian,52
Lisbon,Sushi,101
Lisbon,Tunisian,1
Copenhagen,Vegan Options,187
Hamburg,Asian,119
Geneva,Singaporean,1
Copenhagen,Brazilian,2
Dublin,Soups,40
Hamburg,Grill,29
Hamburg,Sri Lankan,1
Krakow,Seafood,21
Lisbon,Romanian,2
Brussels,Native American,2
Dublin,Moroccan,3
Geneva,Moroccan,10
Dublin,Steakhouse,42
Geneva,Southwestern,1
Dublin,Delicatessen,21
Krakow,Swedish,1
Lisbon,British,3
Edinburgh,Lebanese,7
Helsinki,Vegan Options,144
Helsinki,Singaporean,1
Brussels,Polish,1
Edinburgh,Asian,219
Helsinki,Street Food,10
Lisbon,Middle Eastern,13
Brussels,Balti,1
Budapest,Kosher,9
Budapest,Vietnamese,29
Copenhagen,Pizza,103
Copenhagen,German,3
Edinburgh,Halal,61
Helsinki,Mediterranean,66
Budapest,Latvian,1
Copenhagen,Turkish,25
Hamburg,Korean,6
Helsinki,Swedish,1
Helsinki,Brazilian,2
Krakow,Fast Food,59
Dublin,Brew Pub,6
Hamburg,Southwestern,1
Helsinki,Vegetarian Friendly,328
Copenhagen,Cafe,187
Lisbon,Halal,17
Lisbon,Greek,3
Copenhagen,Croatian,2
Edinburgh,Seafood,43
Brussels,Israeli,1
Hamburg,African,4
Helsinki,Ethiopian,2
Helsinki,Caucasian,2
Copenhagen,Barbecue,21
Geneva,Chinese,46
Helsinki,Turkish,18
Krakow,New Zealand,1
Krakow,Turkish,9
Lisbon,Ukrainian,1
Budapest,Sushi,46
Dublin,Singaporean,1
Edinburgh,Swiss,1
Krakow,Eastern European,159
Krakow,Brazilian,2
Lisbon,Contemporary,93
Brussels,Armenian,1
Budapest,Vegan Options,298
Budapest,Latin,7
Budapest,Korean,6
Dublin,Greek,4
Edinburgh,Taiwanese,1
Lisbon,Central European,8
Dublin,Eastern European,6
Geneva,Bangladeshi,1
Lisbon,European,1870
Copenhagen,Cajun & Creole,2
Copenhagen,Hawaiian,2
Helsinki,Moroccan,3
Copenhagen,Mexican,25
Dublin,African,3
Hamburg,Street Food,7
Helsinki,European,366
Helsinki,Greek,7
Helsinki,African,3
Krakow,Latin,1
Budapest,Mediterranean,129
Budapest,Austrian,5
Dublin,Cafe,245
Dublin,Latin,5
Hamburg,Venezuelan,1
Edinburgh,Barbecue,11
Geneva,Brew Pub,6
Krakow,Russian,2
Lisbon,Chinese,51
